Father pid is: 2130
=========================No.135: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.136: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.137: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619070, reason: 5 =========================
=========================No.138: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619070, reason: 5 =========================
=========================No.139: prev_pid: 2130,next_pid: 2131, prev_policy: 0, next_policy: 0, time: 2619070, reason: 1 =========================
=========================No.140: prev_pid: 2131,next_pid: 2130, prev_policy: 4, next_policy: 0, time: 2619070, reason: 6 =========================
=========================No.141: prev_pid: 2130,next_pid: 2132, prev_policy: 0, next_policy: 0, time: 2619070, reason: 1 =========================
=========================No.142: prev_pid: 2132,next_pid: 437, prev_policy: 4, next_policy: 0, time: 2619071, reason: 6 =========================
=========================No.143: prev_pid: 437,next_pid: 2131, prev_policy: 0, next_policy: 4, time: 2619071, reason: 5 =========================
=========================No.144: prev_pid: 2131,next_pid: 2132, prev_policy: 4, next_policy: 4, time: 2619071, reason: 2 =========================
=========================No.145: prev_pid: 2132,next_pid: 2133, prev_policy: 4, next_policy: 0, time: 2619071, reason: 2 =========================
=========================No.146: prev_pid: 2133,next_pid: 2130, prev_policy: 4, next_policy: 0, time: 2619071, reason: 6 =========================
=========================No.147: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619071, reason: 5 =========================
=========================No.148: prev_pid: 437,next_pid: 2133, prev_policy: 0, next_policy: 4, time: 2619072, reason: 5 =========================
=========================No.149: prev_pid: 2133,next_pid: 2130, prev_policy: 4, next_policy: 0, time: 2619072, reason: 2 =========================
